Iteration:  NumOfCars:  CarsThatDontFit:  FreeSpace:  PercentFreeSpace:
  0  28  0  365.000000  73.000000 
  1  54  0  235.000000  47.000000 
  2  75  7  125.000000  25.000000 
  3  75  26  125.000000  25.000000 
  4  75  33  125.000000  25.000000 
  5  75  34  125.000000  25.000000 
  6  75  34  125.000000  25.000000 
  7  75  30  125.000000  25.000000 
  8  75  28  125.000000  25.000000 
  9  75  24  125.000000  25.000000 
  10  58  28  125.000000  25.000000 
  11  47  10  125.000000  25.000000 
  12  51  4  130.000000  26.000000 
  13  71  1  110.000000  22.000000 
  14  78  27  110.000000  22.000000 
  15  78  33  110.000000  22.000000 
  16  78  25  110.000000  22.000000 
  17  78  28  110.000000  22.000000 
  18  78  28  110.000000  22.000000 
  19  78  32  110.000000  22.000000 
  20  76  26  110.000000  22.000000 
  21  70  27  110.000000  22.000000 
  22  57  28  110.000000  22.000000 
  23  50  0  125.000000  25.000000 
  24  63  3  120.000000  24.000000 
  25  69  15  115.000000  23.000000 
  26  77  19  115.000000  23.000000 
  27  77  32  115.000000  23.000000 
  28  77  38  115.000000  23.000000 
  29  77  29  115.000000  23.000000 
  30  77  23  115.000000  23.000000 
  31  76  29  115.000000  23.000000 
  32  72  30  115.000000  23.000000 
  33  65  17  110.000000  22.000000 
  34  54  12  110.000000  22.000000 
  35  61  11  105.000000  21.000000 
  36  68  15  110.000000  22.000000 
  37  71  20  115.000000  23.000000 
  38  77  26  115.000000  23.000000 
  39  77  31  115.000000  23.000000 
  40  77  30  115.000000  23.000000 
  41  77  19  115.000000  23.000000 
  42  76  20  115.000000  23.000000 
  43  74  39  115.000000  23.000000 
  44  64  26  115.000000  23.000000 
  45  61  18  110.000000  22.000000 
  46  57  6  110.000000  22.000000 
  47  65  13  120.000000  24.000000 
  48  66  17  125.000000  25.000000 
  49  74  21  120.000000  24.000000 
  50  76  26  120.000000  24.000000 
  51  76  28  120.000000  24.000000 
  52  76  33  120.000000  24.000000 
  53  76  31  120.000000  24.000000 
  54  75  27  120.000000  24.000000 
  55  66  22  120.000000  24.000000 
  56  61  24  115.000000  23.000000 
  57  62  18  110.000000  22.000000 
  58  63  23  115.000000  23.000000 
  59  62  18  120.000000  24.000000 
  60  74  13  115.000000  23.000000 
  61  75  25  115.000000  23.000000 
  62  77  22  115.000000  23.000000 
  63  77  30  115.000000  23.000000 
  64  77  36  115.000000  23.000000 
  65  76  33  115.000000  23.000000 
  66  71  40  115.000000  23.000000 
  67  66  23  115.000000  23.000000 
  68  60  16  115.000000  23.000000 
  69  61  14  115.000000  23.000000 
  70  65  22  115.000000  23.000000 
  71  68  19  115.000000  23.000000 
  72  72  24  115.000000  23.000000 
  73  77  31  115.000000  23.000000 
  74  77  21  115.000000  23.000000 
  75  77  29  115.000000  23.000000 
  76  76  32  115.000000  23.000000 
  77  75  32  115.000000  23.000000 
  78  67  17  115.000000  23.000000 
  79  63  13  105.000000  21.000000 
  80  67  17  95.000000  19.000000 
  81  64  28  100.000000  20.000000 
  82  68  6  100.000000  20.000000 
  83  74  18  100.000000  20.000000 
  84  79  21  105.000000  21.000000 
  85  79  47  105.000000  21.000000 
  86  79  27  105.000000  21.000000 
  87  79  32  105.000000  21.000000 
  88  76  28  105.000000  21.000000 
  89  75  28  105.000000  21.000000 
  90  63  31  105.000000  21.000000 
  91  60  8  105.000000  21.000000 
  92  63  10  110.000000  22.000000 
  93  71  9  110.000000  22.000000 
  94  67  23  105.000000  21.000000 
  95  76  19  105.000000  21.000000 
  96  79  23  105.000000  21.000000 
  97  79  30  105.000000  21.000000 
  98  78  20  105.000000  21.000000 
  99  79  31  105.000000  21.000000 
  100  76  26  105.000000  21.000000 
  101  70  23  105.000000  21.000000 
  102  63  18  105.000000  21.000000 
  103  60  18  105.000000  21.000000 
  104  68  1  105.000000  21.000000 
  105  68  16  110.000000  22.000000 
  106  72  13  110.000000  22.000000 
  107  73  24  115.000000  23.000000 
  108  77  22  115.000000  23.000000 
  109  77  32  115.000000  23.000000 
  110  76  33  115.000000  23.000000 
  111  77  28  115.000000  23.000000 
  112  70  28  115.000000  23.000000 
  113  66  22  115.000000  23.000000 
  114  52  17  120.000000  24.000000 
  115  65  13  125.000000  25.000000 
  116  67  18  115.000000  23.000000 
